cpg_id,ACR-139-TP1,ACR-139-TP2,ACR-139-TP3,ACR-139-TP4,ACR-145-TP1,ACR-145-TP2,ACR-145-TP3,ACR-145-TP4,ACR-150-TP1,ACR-150-TP2,ACR-150-TP3,ACR-150-TP4,ACR-173-TP1,ACR-173-TP2,ACR-173-TP3,ACR-173-TP4,ACR-186-TP1,ACR-186-TP2,ACR-186-TP3,ACR-186-TP4,ACR-225-TP2,ACR-225-TP3,ACR-225-TP4,ACR-229-TP1,ACR-229-TP2,ACR-229-TP3,ACR-229-TP4,ACR-237-TP1,ACR-237-TP2,ACR-237-TP3,ACR-237-TP4,ACR-244-TP1,ACR-244-TP2,ACR-244-TP3,ACR-244-TP4,ACR-265-TP1,ACR-265-TP2,ACR-265-TP3,ACR-265-TP4
CpG_ntLink_1_121337,8.333333,7.317073,9.090909,25.0,9.375,12.5,16.0,10.344828,6.896552,22.222222,25.0,14.814815,2.380952,0.0,0.0,8.571429,4.958678,4.615385,1.388889,1.818182,8.333333,16.216216,32.352941,3.921569,11.428571,3.703704,9.375,12.820513,15.909091,17.5,17.391304,12.5,26.0,8.695652,23.913043,13.333333,22.727273,8.333333,8.333333
CpG_ntLink_1_121343,8.571429,5.128205,12.121212,12.5,7.142857,12.903226,0.0,3.703704,5.454545,22.857143,29.411765,12.0,2.857143,0.0,0.0,3.846154,2.479339,4.6875,2.857143,0.0,9.090909,15.625,24.242424,4.166667,5.882353,4.0,9.677419,10.25641,16.27907,10.526316,17.391304,15.384615,32.653061,4.347826,15.909091,14.285714,15.789474,9.090909,8.333333
CpG_ntLink_1_121375,20.0,17.391304,10.638298,13.333333,8.888889,23.809524,13.888889,20.0,17.721519,16.129032,32.608696,13.888889,18.604651,14.285714,2.702703,10.714286,3.448276,6.521739,4.918033,2.439024,42.857143,24.390244,21.95122,10.638298,3.030303,16.666667,0.0,30.0,25.531915,20.0,26.829268,40.540541,33.333333,61.111111,51.162791,32.142857,14.285714,20.833333,13.043478
CpG_ntLink_1_121455,15.625,13.333333,11.538462,15.0,13.636364,20.0,0.0,10.714286,14.473684,29.032258,25.531915,20.454545,11.538462,17.647059,6.666667,5.882353,4.545455,12.0,7.142857,3.703704,38.461538,32.55814,30.232558,2.272727,5.405405,3.703704,2.941176,33.333333,35.185185,30.0,24.324324,39.285714,32.142857,50.0,33.333333,18.518519,5.0,15.151515,8.0
CpG_ntLink_1_122517,6.896552,10.526316,3.846154,10.526316,4.166667,7.407407,0.0,11.428571,27.272727,28.571429,33.333333,15.384615,6.25,7.142857,4.0,0.0,0.0,4.0,0.0,0.0,20.0,28.571429,10.714286,2.380952,4.878049,0.0,4.0,24.137931,21.052632,20.588235,39.473684,50.0,30.769231,20.0,25.0,0.0,0.0,0.0,6.25
CpG_ntLink_1_122523,6.666667,0.0,8.0,10.526316,0.0,0.0,0.0,8.333333,29.545455,29.268293,21.875,7.692308,0.0,0.0,4.0,0.0,6.666667,4.0,10.0,0.0,8.333333,22.727273,16.666667,0.0,7.142857,0.0,4.0,22.580645,20.512821,20.0,38.888889,40.0,30.769231,30.0,26.666667,0.0,0.0,5.555556,0.0
CpG_ntLink_1_125741,39.285714,40.0,35.0,33.333333,4.0,38.235294,20.833333,21.73913,35.483871,46.153846,54.545455,33.333333,28.0,40.0,7.692308,26.666667,17.647059,50.0,18.181818,40.0,62.5,75.0,30.434783,17.021277,24.324324,23.809524,18.181818,27.272727,42.424242,40.740741,44.827586,38.461538,47.368421,64.705882,52.0,22.222222,31.578947,34.782609,35.0
CpG_ntLink_1_125821,23.170732,34.285714,25.423729,31.25,19.512195,20.512821,14.457831,22.368421,35.789474,47.540984,57.471264,41.428571,16.071429,31.111111,14.285714,11.538462,12.765957,32.692308,20.408163,18.518519,50.0,49.382716,40.425532,23.809524,22.580645,19.642857,7.8125,36.666667,37.349398,40.322581,36.363636,48.717949,52.380952,47.5,40.625,22.5,24.390244,33.333333,19.69697
CpG_ntLink_1_125827,17.073171,28.985507,28.571429,24.489796,13.580247,15.189873,13.253012,18.421053,35.416667,41.666667,51.724138,40.277778,9.090909,29.545455,19.642857,14.545455,8.888889,26.923077,14.285714,16.981132,45.098039,41.463415,41.052632,15.533981,22.826087,22.413793,6.153846,38.983051,35.714286,42.857143,35.9375,39.473684,51.162791,44.736842,42.1875,14.634146,25.0,25.806452,13.846154
CpG_ntLink_1_125830,14.814815,30.882353,26.229508,22.916667,13.924051,19.230769,13.253012,16.438356,32.978723,45.901639,54.761905,38.888889,13.207547,27.272727,17.241379,13.207547,8.888889,24.0,12.244898,7.692308,44.897959,43.902439,45.054945,18.627451,18.681319,21.052632,1.587302,40.677966,39.506173,46.774194,31.746032,46.153846,45.238095,48.780488,38.095238,17.073171,21.95122,29.6875,14.0625
CpG_ntLink_1_125859,32.876712,34.615385,30.0,32.432432,19.178082,27.692308,16.883117,24.615385,39.285714,50.980392,48.529412,39.130435,25.490196,32.5,22.641509,17.647059,5.128205,30.232558,11.363636,21.621622,47.727273,32.394366,40.0,22.891566,29.113924,34.782609,20.338983,54.0,35.714286,43.859649,45.098039,56.25,62.857143,55.882353,44.444444,23.684211,42.424242,45.454545,26.229508
CpG_ntLink_1_126095,23.333333,55.555556,41.176471,30.769231,18.181818,22.222222,26.470588,21.428571,35.483871,62.5,62.5,26.086957,16.666667,36.842105,7.692308,18.181818,23.076923,66.666667,21.428571,19.047619,50.0,52.631579,40.540541,20.408163,23.255814,17.647059,9.52381,34.615385,38.709677,50.0,43.333333,44.444444,66.666667,61.538462,48.571429,20.0,37.5,33.333333,11.764706
CpG_ntLink_1_126175,21.428571,55.555556,17.241379,15.384615,16.27907,22.727273,13.888889,28.0,21.621622,45.0,51.428571,31.428571,12.5,50.0,25.0,4.545455,9.677419,38.888889,16.666667,16.666667,54.545455,35.897436,30.434783,25.0,23.809524,24.0,8.333333,32.0,43.333333,45.16129,35.135135,21.428571,42.105263,23.529412,37.5,28.571429,23.529412,34.615385,13.043478
CpG_ntLink_1_126181,21.428571,46.428571,7.142857,23.076923,12.195122,18.181818,16.666667,15.384615,20.0,40.0,41.666667,22.857143,16.0,40.0,20.0,4.545455,6.666667,27.777778,12.5,14.285714,47.619048,35.897436,28.888889,17.391304,24.390244,28.0,4.347826,28.0,44.827586,38.709677,33.333333,28.571429,47.368421,26.666667,21.052632,21.428571,17.647059,32.0,8.695652
CpG_ntLink_1_126184,17.857143,56.0,14.814815,23.076923,19.512195,18.181818,8.571429,19.230769,20.588235,40.0,44.117647,25.714286,8.333333,35.0,21.428571,9.090909,7.142857,31.25,12.5,13.333333,38.095238,28.571429,27.906977,26.666667,24.324324,28.0,4.761905,25.0,39.285714,35.483871,32.352941,30.769231,44.444444,20.0,23.684211,7.142857,25.0,36.0,14.285714
CpG_ntLink_1_150877,27.868852,38.333333,20.0,25.454545,23.404255,27.536232,20.0,21.052632,24.675325,36.0,40.789474,37.254902,26.530612,43.75,11.111111,9.090909,7.575758,28.301887,10.344828,24.637681,48.275862,41.025641,46.875,13.207547,28.571429,23.404255,5.769231,33.333333,50.617284,34.285714,29.032258,66.27907,69.354839,59.574468,55.882353,17.857143,28.571429,29.411765,25.531915
CpG_ntLink_1_150886,1.515152,6.557377,8.474576,8.928571,2.040816,6.756757,0.0,5.357143,0.0,8.860759,6.493506,7.407407,6.0,0.0,0.0,6.060606,1.369863,3.448276,5.263158,8.450704,3.571429,8.974359,6.153846,0.0,5.405405,2.083333,1.886792,5.263158,8.235294,0.0,7.692308,33.673469,31.578947,38.888889,33.333333,0.0,9.52381,10.0,1.960784
CpG_ntLink_1_150957,30.188679,33.333333,16.326531,19.047619,16.666667,20.634921,14.285714,19.047619,29.850746,24.242424,33.870968,28.0,9.756098,33.333333,5.555556,5.555556,9.459459,25.301205,12.765957,24.193548,46.666667,28.358209,28.571429,8.791209,7.142857,17.5,22.222222,45.238095,52.173913,36.585366,39.534884,58.666667,51.648352,45.652174,52.12766,16.666667,27.586207,25.714286,20.454545
CpG_ntLink_1_150963,32.692308,29.411765,15.909091,14.285714,16.129032,16.363636,13.157895,21.212121,27.692308,27.586207,40.0,23.404255,22.222222,20.0,2.857143,11.111111,6.493506,24.096386,12.244898,21.666667,46.428571,30.188679,36.170213,6.024096,10.169492,20.512821,15.384615,42.105263,49.206349,37.142857,35.0,44.285714,44.827586,38.636364,47.87234,13.636364,21.428571,19.354839,17.5
CpG_ntLink_1_150966,30.0,30.0,10.869565,15.384615,16.129032,16.071429,5.405405,13.157895,31.818182,27.272727,36.842105,20.0,11.428571,26.666667,5.882353,5.555556,8.108108,21.25,10.638298,12.727273,39.285714,28.301887,27.659574,7.317073,10.714286,22.222222,14.285714,34.285714,52.459016,40.0,35.0,45.454545,40.506329,32.55814,44.318182,10.0,23.333333,20.689655,16.666667
CpG_ntLink_1_151671,14.285714,5.263158,4.0,15.0,10.714286,9.677419,14.285714,14.705882,12.5,22.5,25.0,33.333333,16.666667,8.333333,4.166667,23.076923,5.405405,7.407407,4.761905,5.263158,21.73913,19.230769,20.689655,7.692308,2.040816,9.677419,6.25,51.724138,23.684211,27.777778,21.428571,18.518519,40.0,14.285714,42.307692,0.0,10.526316,16.129032,15.0
CpG_ntLink_1_151674,8.823529,5.714286,16.666667,15.789474,7.692308,7.142857,20.0,9.090909,9.090909,22.5,23.333333,33.333333,16.666667,10.0,4.761905,23.076923,2.857143,0.0,0.0,5.882353,22.727273,20.0,17.857143,8.695652,8.333333,7.142857,12.5,50.0,32.352941,31.578947,23.076923,30.769231,35.897436,21.428571,35.714286,0.0,5.0,16.129032,16.666667
CpG_ntLink_1_154143,13.135593,11.524164,16.513761,6.766917,5.047319,6.306306,3.174603,8.715596,11.312217,14.545455,15.668203,11.486486,14.285714,4.827586,5.102041,7.526882,4.712042,17.525773,3.424658,11.494253,11.111111,14.583333,23.913043,5.857741,7.092199,4.320988,3.896104,18.881119,17.87234,15.662651,14.009662,14.159292,27.692308,22.727273,38.095238,13.868613,10.576923,12.318841,10.37037
CpG_ntLink_1_154149,11.06383,8.550186,12.844037,8.955224,4.95356,7.391304,2.604167,7.142857,11.764706,12.612613,13.69863,11.184211,11.956522,4.761905,3.092784,6.382979,4.188482,13.265306,2.040816,11.827957,15.555556,12.448133,21.89781,5.761317,5.208333,1.818182,6.451613,17.482517,17.446809,15.853659,12.796209,14.159292,22.95082,27.272727,31.707317,11.678832,7.76699,12.318841,8.955224
CpG_ntLink_1_154152,10.743802,10.0,15.315315,7.462687,5.230769,7.359307,2.617801,9.333333,11.312217,11.453744,13.963964,12.751678,11.827957,4.666667,2.020202,5.263158,4.232804,17.171717,2.758621,10.0,13.333333,12.295082,23.703704,5.809129,5.172414,3.658537,6.25,16.438356,16.59751,14.285714,14.418605,13.675214,25.384615,25.0,30.0,12.857143,10.280374,12.408759,11.764706
CpG_ntLink_1_154181,17.557252,13.680782,21.666667,16.883117,11.299435,13.72549,12.785388,14.942529,19.183673,16.862745,17.073171,15.568862,19.354839,11.494253,10.280374,13.333333,11.881188,18.018018,8.974359,18.348624,27.884615,18.560606,30.215827,9.9631,12.084592,7.386364,11.627907,20.359281,18.727915,17.098446,17.241379,33.076923,34.265734,46.153846,44.565217,17.721519,15.57377,17.218543,16.326531
CpG_ntLink_1_154261,7.111111,6.369427,11.409396,7.361963,3.218884,5.28169,1.811594,8.467742,9.064327,12.888889,12.844037,6.532663,11.650485,2.068966,3.10559,5.590062,3.389831,12.745098,2.747253,10.434783,14.864865,9.88024,20.606061,6.034483,4.067797,3.144654,4.109589,12.418301,13.768116,11.875,13.617021,15.972222,28.688525,32.608696,26.966292,6.17284,16.513761,9.285714,11.627907
CpG_ntLink_1_154267,6.78733,6.20915,11.111111,4.968944,3.0837,4.710145,2.651515,6.329114,9.726444,10.377358,14.07767,4.736842,9.89011,4.316547,1.315789,4.026846,1.730104,15.841584,1.666667,3.478261,18.918919,11.801242,19.375,3.539823,3.496503,1.265823,4.225352,8.90411,11.524164,7.843137,13.274336,14.393939,22.123894,21.95122,28.395062,3.797468,11.458333,9.848485,10.0
CpG_ntLink_1_154270,8.219178,6.514658,9.79021,7.5,2.832244,5.755396,2.95203,8.713693,10.122699,12.727273,12.149533,6.315789,6.382979,2.836879,3.821656,5.16129,2.48227,9.615385,3.370787,5.504587,16.438356,12.121212,18.709677,4.385965,3.484321,1.910828,5.882353,8.843537,12.274368,11.949686,12.888889,15.942029,25.0,34.090909,25.316456,5.031447,11.650485,9.022556,9.202454
CpG_ntLink_1_154299,14.705882,15.719064,14.503817,14.09396,10.368664,8.955224,9.056604,17.672414,13.804714,13.942308,19.402985,10.0,12.048193,10.37037,8.391608,16.666667,8.139535,17.241379,7.471264,14.953271,24.242424,20.735786,28.169014,7.33945,8.424908,6.451613,10.15625,15.217391,19.354839,19.205298,19.545455,32.231405,40.566038,42.105263,48.648649,15.131579,18.75,19.2,14.765101
CpG_ntLink_1_154379,4.026846,11.983471,16.666667,6.19469,5.526316,5.527638,3.056769,9.289617,7.075472,10.344828,13.636364,12.5,3.896104,0.847458,1.515152,4.62963,6.926407,10.169492,7.741935,5.434783,4.878049,10.569106,8.888889,5.095541,4.424779,6.870229,4.597701,13.72549,8.67052,11.881188,13.291139,10.309278,17.241379,33.333333,43.75,6.617647,10.769231,7.792208,9.166667
CpG_ntLink_1_154385,5.185185,9.090909,14.285714,2.941176,4.857143,3.763441,3.773585,8.695652,9.090909,9.42029,9.401709,12.977099,7.142857,0.934579,0.793651,3.157895,4.608295,9.803922,4.964539,4.761905,8.108108,9.677419,6.17284,5.594406,5.445545,5.6,3.846154,9.473684,9.271523,10.869565,9.929078,3.614458,15.09434,17.647059,39.393939,6.299213,5.357143,4.6875,7.33945
CpG_ntLink_1_154388,6.837607,5.445545,14.516129,5.376344,3.548387,2.312139,2.051282,8.333333,5.714286,7.377049,8.490566,11.206897,3.278689,0.0,0.847458,2.247191,4.324324,10.810811,5.172414,1.5625,3.333333,8.333333,1.388889,5.217391,2.247191,4.081633,6.25,11.827957,8.148148,12.941176,11.538462,5.405405,13.333333,25.0,34.482759,4.347826,1.960784,6.451613,3.370787
CpG_ntLink_1_159727,30.232558,38.461538,36.0,20.0,26.666667,16.666667,20.0,16.129032,29.787234,35.897436,56.25,35.135135,24.0,23.529412,10.714286,5.263158,10.526316,43.478261,9.52381,12.121212,44.0,26.666667,33.333333,30.769231,10.416667,25.0,5.555556,36.363636,35.555556,33.333333,41.463415,61.764706,81.25,72.727273,50.0,23.076923,11.538462,34.782609,22.222222
CpG_ntLink_1_159807,20.512821,28.205128,20.512821,21.73913,11.363636,9.090909,9.090909,9.375,25.714286,31.111111,37.254902,16.666667,5.555556,20.0,5.263158,6.451613,7.894737,21.875,12.0,21.428571,40.0,32.394366,49.152542,21.538462,21.052632,9.677419,11.627907,42.105263,40.740741,26.470588,39.622642,38.888889,60.526316,46.153846,33.333333,9.52381,9.090909,21.212121,26.470588
CpG_ntLink_1_159816,21.95122,30.434783,20.930233,29.166667,6.666667,9.090909,3.125,2.857143,28.378378,32.0,44.262295,17.021277,5.263158,25.0,5.128205,9.090909,7.692308,10.344828,9.52381,18.518519,38.461538,30.434783,42.622951,24.050633,22.580645,15.151515,6.122449,38.095238,40.350877,18.918919,39.622642,51.282051,58.974359,40.0,30.952381,9.090909,6.451613,20.0,17.647059
CpG_ntLink_1_159845,22.727273,35.849057,28.301887,27.586207,13.207547,28.301887,4.0,15.217391,29.545455,33.333333,56.338028,14.285714,17.5,31.578947,9.302326,11.111111,10.25641,20.0,6.25,23.529412,57.142857,42.105263,52.857143,26.0,32.467532,30.232558,12.0,50.819672,44.155844,42.857143,42.857143,65.909091,64.444444,46.153846,64.705882,15.789474,3.333333,22.916667,20.0
CpG_ntLink_1_159925,30.645161,43.103448,20.408163,20.454545,15.254237,22.0,13.636364,16.0,33.73494,32.894737,56.097561,29.545455,15.384615,20.0,7.142857,7.407407,16.27907,23.255814,20.0,14.285714,44.0,33.72093,37.662338,21.052632,20.0,24.489796,11.320755,42.105263,35.802469,43.75,40.0,46.938776,51.851852,52.941176,39.0625,14.814815,12.121212,17.391304,25.0
CpG_ntLink_1_159931,30.0,40.740741,17.021277,20.930233,11.864407,23.404255,21.73913,13.636364,37.349398,32.394366,64.197531,23.076923,6.25,15.789474,7.692308,8.888889,17.073171,22.5,13.333333,17.647059,42.307692,35.897436,39.43662,16.666667,21.73913,24.489796,14.0,41.37931,36.708861,44.444444,37.5,47.727273,54.901961,33.333333,33.333333,14.814815,6.451613,16.27907,15.384615
CpG_ntLink_1_159934,22.033898,34.0,15.217391,17.5,18.867925,22.916667,22.727273,16.666667,36.363636,29.577465,56.962025,25.0,10.416667,22.222222,8.571429,4.166667,5.714286,26.315789,14.285714,15.151515,30.434783,35.443038,38.235294,19.318182,20.0,23.255814,15.555556,44.642857,35.802469,53.191489,38.571429,47.5,47.916667,37.5,32.692308,15.384615,6.666667,15.384615,24.0
CpG_ntLink_1_162167,11.764706,16.666667,28.0,16.326531,9.52381,15.0,6.060606,7.142857,35.135135,30.555556,42.857143,33.333333,9.302326,0.0,12.5,23.529412,0.0,4.545455,11.764706,0.0,52.380952,33.333333,22.5,2.325581,2.941176,0.0,0.0,31.884058,38.596491,33.962264,37.837838,52.173913,51.515152,42.857143,42.424242,9.52381,14.814815,4.0,3.225806
CpG_ntLink_1_162173,12.676056,20.967742,24.489796,8.510638,6.976744,7.142857,2.857143,10.344828,37.333333,27.027027,46.666667,30.357143,4.081633,4.545455,9.375,12.5,0.0,4.545455,11.111111,0.0,45.454545,27.906977,28.571429,2.222222,1.351351,0.0,0.0,32.857143,33.928571,36.065574,24.675325,42.105263,32.258065,61.538462,45.16129,4.347826,3.571429,7.692308,0.0
CpG_ntLink_1_162176,12.5,13.846154,26.530612,10.204082,6.818182,6.818182,2.777778,10.0,35.064935,28.0,40.789474,26.315789,6.122449,0.0,14.285714,12.5,0.0,4.347826,5.882353,0.0,43.478261,31.818182,23.809524,3.333333,3.947368,2.702703,1.724138,37.5,31.147541,37.704918,30.487805,40.909091,34.375,43.75,40.625,4.347826,10.0,3.846154,0.0
CpG_ntLink_1_162205,15.789474,25.806452,15.217391,31.914894,19.512195,15.909091,20.512821,12.121212,36.842105,32.894737,43.283582,34.0,11.111111,15.789474,13.793103,30.0,0.0,3.846154,0.0,0.0,52.631579,38.888889,38.095238,3.26087,6.410256,2.857143,1.785714,29.6875,36.507937,29.824561,40.0,57.894737,46.666667,76.470588,60.869565,4.545455,18.181818,11.538462,8.0
CpG_ntLink_1_162999,1.604278,1.226994,0.847458,0.588235,0.322581,1.111111,0.625,1.265823,0.626959,0.0,0.0,0.0,1.086957,0.0,0.568182,0.307692,0.0,0.0,0.0,0.740741,1.612903,0.0,0.555556,1.167315,1.069519,0.0,0.0,0.787402,1.5625,0.806452,0.60241,13.636364,0.0,0.0,0.0,0.0,0.0,0.0,0.869565
CpG_ntLink_1_54085,28.26087,34.375,12.727273,17.647059,8.333333,2.777778,5.555556,21.621622,26.415094,29.411765,43.636364,38.888889,5.084746,0.0,1.604278,0.0,9.756098,23.809524,20.0,10.526316,54.545455,34.146341,36.170213,17.241379,6.122449,5.405405,17.857143,29.411765,47.727273,40.0,55.102041,50.0,44.444444,23.529412,31.914894,7.142857,10.0,23.076923,16.0
CpG_ntLink_1_54088,26.530612,40.0,10.344828,8.571429,13.72549,8.108108,0.0,22.5,20.634921,24.561404,44.067797,33.333333,4.132231,0.0,2.105263,0.0,19.512195,19.047619,20.0,13.043478,41.666667,33.333333,30.769231,22.222222,7.407407,7.5,28.125,34.210526,44.230769,47.058824,48.148148,42.105263,36.170213,29.411765,38.181818,6.666667,6.060606,20.930233,9.090909
CpG_ntLink_1_54117,35.897436,40.0,19.54023,29.090909,22.891566,19.69697,18.518519,36.666667,26.851852,32.58427,38.636364,40.625,10.967742,8.450704,5.504587,7.373272,20.833333,18.75,21.428571,35.897436,38.461538,34.090909,36.904762,22.093023,17.204301,10.714286,23.809524,35.714286,45.348837,48.571429,48.837209,54.098361,54.166667,36.363636,50.60241,23.809524,22.0,33.870968,18.421053
CpG_ntLink_1_54123,82.55814,72.222222,72.043011,70.175439,86.363636,72.60274,55.555556,79.6875,69.230769,73.958333,79.166667,62.5,30.625,15.492958,20.089286,23.144105,80.519481,78.947368,53.333333,84.615385,66.666667,85.263158,77.272727,76.842105,74.489796,79.661017,79.545455,75.308642,84.375,90.789474,87.777778,73.015873,75.0,38.461538,73.255814,56.521739,77.358491,64.615385,71.111111
CpG_ntLink_1_54197,23.255814,30.30303,18.181818,21.875,15.384615,17.391304,14.705882,39.0625,30.769231,19.736842,38.095238,31.25,7.8125,5.172414,6.122449,7.236842,15.942029,16.071429,16.666667,30.0,36.842105,36.111111,36.734694,16.494845,12.5,18.181818,12.0,35.443038,37.037037,38.666667,45.121951,46.376812,48.051948,53.571429,42.857143,0.0,26.415094,20.0,14.516129
CpG_ntLink_1_54203,24.418605,31.343284,14.851485,15.625,15.47619,21.126761,12.5,27.586207,30.252101,21.428571,36.082474,27.083333,10.810811,2.040816,6.015038,4.444444,16.666667,12.5,17.857143,22.916667,29.411765,34.615385,32.967033,17.204301,8.035714,12.903226,6.25,37.5,33.944954,36.486486,44.303797,44.615385,47.887324,42.857143,42.352941,8.695652,18.0,21.568627,15.0
CpG_ntLink_1_54206,26.829268,26.865672,16.666667,18.461538,11.764706,22.727273,13.333333,29.090909,27.192982,21.917808,31.111111,25.0,6.930693,4.0,5.6,5.46875,19.298246,9.433962,18.518519,22.222222,27.777778,30.392157,35.227273,12.643678,9.90991,15.517241,2.325581,31.428571,34.259259,36.0,45.0,38.461538,41.666667,40.0,33.333333,4.0,14.893617,14.583333,9.433962
CpG_ntLink_1_54235,31.481481,39.583333,17.241379,26.086957,18.0,32.608696,7.692308,29.411765,33.823529,34.782609,44.067797,16.666667,11.320755,10.0,11.363636,12.244898,14.285714,22.222222,16.666667,30.769231,21.052632,39.655172,32.20339,8.163265,12.0,11.428571,9.375,34.883721,40.25974,34.146341,48.888889,53.846154,47.058824,36.842105,47.916667,10.0,15.625,14.814815,10.810811
CpG_ntLink_1_57029,16.216216,26.470588,6.451613,20.0,6.818182,8.823529,15.384615,11.111111,20.0,0.0,17.142857,20.0,15.0,10.526316,11.111111,14.285714,12.5,15.384615,12.0,19.047619,12.5,6.896552,22.727273,11.111111,2.5,18.181818,4.545455,27.777778,23.255814,22.580645,25.925926,35.294118,32.0,45.454545,26.315789,40.0,9.52381,0.0,11.111111
CpG_ntLink_1_57035,14.285714,18.181818,3.125,17.391304,4.761905,9.090909,15.384615,7.407407,19.444444,3.333333,17.647059,22.222222,9.52381,11.111111,7.692308,0.0,12.5,16.666667,12.0,10.526316,16.0,7.407407,33.333333,8.888889,5.263158,21.73913,4.545455,25.714286,21.428571,23.333333,30.769231,20.0,30.769231,27.272727,21.052632,20.0,5.263158,0.0,5.882353
